"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"27.01.2025","124.608","122.443","124.631","122.207","8,82M","1,76%"
"24.01.2025","122.447","122.483","122.908","122.196","7,78B","-0,03%"
"23.01.2025","122.483","122.965","123.958","122.159","9,49B","-0,40%"
"22.01.2025","122.972","123.345","123.865","122.926","9,98B","-0,30%"
"21.01.2025","123.338","122.850","123.462","122.290","7,82B","0,39%"
"20.01.2025","122.855","122.349","123.172","121.511","6,05B","0,41%"
"17.01.2025","122.350","121.258","122.674","121.074","10,24B","0,92%"
"16.01.2025","121.234","122.649","122.660","120.796","11,31B","-1,15%"
"15.01.2025","122.650","119.309","122.988","119.303","11,93B","2,81%"
"14.01.2025","119.299","119.007","119.451","118.223","9,35B","0,25%"
"13.01.2025","119.007","118.856","119.729","118.743","8,16B","0,13%"
"10.01.2025","118.856","119.781","120.052","118.732","9,26B","-0,77%"
"09.01.2025","119.781","119.625","120.145","119.502","6,61B","0,13%"
"08.01.2025","119.625","121.160","121.160","119.351","10,23B","-1,27%"
"07.01.2025","121.163","120.022","121.713","120.022","11,12B","0,95%"
"06.01.2025","120.022","118.534","120.322","118.534","9,69M","1,26%"
"03.01.2025","118.533","120.125","120.356","118.404","9,80M","-1,33%"
"02.01.2025","120.125","120.283","120.782","119.120","9,37M","-0,13%"
"30.12.2024","120.283","120.267","121.050","120.158","8,90M","0,01%"
"27.12.2024","120.269","121.078","121.609","120.252","8,94M","-0,67%"
"26.12.2024","121.078","120.767","121.612","120.428","8,34M","0,26%"